"V_GENE"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IGKV3-9"	0.475491105655028	9.25580538203661	0.757413975847384	0.457205479008297	0.676817437454557	-6.24132514334356
"IGKV1-110"	0.39556244195756	13.6960999685107	1.04662884858846	0.307152286531638	0.572420170354417	-6.24191716665334
"IGKV4-52"	-0.581559852733552	8.39003980810148	-0.725353431555743	0.476230190860915	0.681887760597684	-6.26865313373406
"IGKV10-96"	0.274025018035601	10.4652143741689	0.748892892757437	0.462216786554332	0.676817437454557	-6.30049754772299
"IGKV4-79"	0.318682759214662	10.1662503487198	0.690583555775647	0.497379486692803	0.703191688082928	-6.30102321265321
"IGHV1S32"	-0.183069392349867	4.14874631545319	-0.556155351858616	0.583974494016276	0.772353363053784	-6.31144853666866
"IGKV10-95"	0.221669050988275	-1.31908352143487	0.424255396318805	0.675688164658561	0.83350838315935	-6.31413386711607
"IGKV1-135"	0.27879499773171	14.597021253665	1.01136459457407	0.323337866904094	0.585288204701123	-6.32359536114606
"IGKV8-28"	0.230241201610481	13.3892549871332	0.922597806653116	0.366681624235321	0.61833216168653	-6.324332412755
"IGKV12-38"	-0.239152626266546	1.05238424187931	-0.357184471100905	0.724513169546034	0.842188701420874	-6.33819038992853
"IGKV1-35"	0.2736656853822	2.95669423548967	0.403688190805961	0.690517553613404	0.840927317766819	-6.34077954602276
"IGHV9-1"	-0.277510053386217	0.598201167495862	-0.333788672571342	0.7418445586688	0.842188701420874	-6.34709457924972
"IGHV1S96"	0.157239656890454	0.293587258660907	0.320380493263366	0.75184160105775	0.842188701420874	-6.35093851977093
"IGKV13-84"	0.162203862226881	1.05283223570819	0.259756732928284	0.797577565379521	0.875911076265009	-6.37019000815787
"IGKV9-124"	-0.32180688132296	11.5102051792079	-0.724459820143075	0.47676705212521	0.681887760597684	-6.37039617725535
"IGKV11-125"	0.158929797549373	3.92459297798924	0.341787385517669	0.73590282155591	0.842188701420874	-6.38085431270767
"IGKV8-27"	0.210753467566946	4.8848572851664	0.508798681088892	0.616190133370569	0.806291344729574	-6.38511701465408
"IGKV12-89"	0.0962555052758105	1.1903486770983	0.118705362121044	0.90663540238464	0.931553149427436	-6.39704205372609
"IGKV6-17"	-0.236647336172529	6.67647213408092	-0.556159088865781	0.583971985277061	0.772353363053784	-6.39789413466122
"IGKV15-103"	-0.0672069622041516	0.989737069517433	-0.103481986464649	0.918560971025928	0.931553149427436	-6.39931471097355
"IGKV2-109"	0.033041560891395	-0.0882427740548634	0.056218973633873	0.955698095779045	0.955698095779045	-6.39993441982121
"IGHV8S9"	0.0538674140633728	-1.47757977150698	0.10140343699225	0.920190840131391	0.931553149427436	-6.40091584765076
"IGKV8-26"	0.628155404230681	6.008692773283	0.482766681461104	0.63424892422383	0.821185449258222	-6.40398308429856
"IGKV1-99"	-0.210598298400324	11.5796519907632	-0.611250203293645	0.547585155808571	0.756774990611845	-6.4183816451715
"IGKV6-25"	0.150694185881786	4.96789907386882	0.433144768092995	0.669319847024656	0.83350838315935	-6.42628503468593
"IGKV4-73"	-0.183989333658616	8.76373887335751	-0.421525218230078	0.677649091999472	0.83350838315935	-6.43373635810711
"IGKV6-23"	0.16056723631371	7.42589763509346	0.379523159088435	0.708104878944666	0.842188701420874	-6.45660646344494
"IGKV14-130"	0.129226431918594	9.43175079481875	0.325897511921042	0.747722624548421	0.842188701420874	-6.47569409888174
"IGKV4-55"	0.251079744120021	12.4899049273082	0.632330862888622	0.533986035926063	0.746366845669383	-6.47730813617377
"IGKV6-13"	-0.161084197688423	8.50594210730295	-0.209709179006614	0.835912988786495	0.894063457571642	-6.50207922914794
"IGKV4-90"	0.0955184526092827	7.84489751479475	0.171661814546134	0.865344556086296	0.909721199988157	-6.51900395248
"IGKV4-58"	0.188670024742486	10.9399752072881	0.361017721647225	0.721687625179681	0.842188701420874	-6.53423364029489
"IGKV4-57"	0.29347605194878	12.0252588466822	0.457723154646726	0.651845459492665	0.83350838315935	-6.53747212838717
"IGKV14-126"	0.043936511435998	10.3299646598263	0.0965735079031895	0.923979546586563	0.931553149427436	-6.54449365587632
"IGKV1-133"	0.138179442924041	9.92367970895164	0.198756613235279	0.84436215829991	0.895315047162835	-6.55203815888373
"IGKV4-80"	0.165137019097196	11.3839116923405	0.321762832295671	0.75080883639492	0.842188701420874	-6.55649163360904
"IGKV3-5"	-0.252028025354095	12.8382798398453	-0.581117283932521	0.56733819198612	0.771290470218138	-6.57859738096665
"IGKV8-19"	0.109548864732488	12.9347942327675	0.445031641382751	0.660843904972227	0.83350838315935	-6.61353963358328
"IGKV9-120"	0.198908917517935	12.6013440187514	0.318594178801218	0.753176887449562	0.842188701420874	-6.61689905275182
"IGKV4-62"	-0.239597010212718	11.8575346582448	-0.266796481146418	0.792224604658042	0.875911076265009	-6.6410671296971
"IGKV17-121"	0.0370577145168927	12.1197707574392	0.122496108688277	0.903669231271687	0.931553149427436	-6.64398070096364
"IGKV4-59"	0.0588252369967908	13.7474440535829	0.230447472778796	0.819971108913897	0.892534923862029	-6.7664867033672
"IGLV2"	0.0501267318601464	16.8386056861869	0.220900304523351	0.827300723074635	0.892613938054212	-6.96314625304274
